Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Age
Haseul,Jo Haseul,조하슬,하슬,1997-08-18,LOONA,20/08/2018,Blockberry,South Korea,,,,Ansan,Loona 1/3,,F,29.0
Havit,Lee Havit,이하빛,하빛,1999-06-07,TRENDZ,5/01/2022,Interpark,South Korea,,,,Incheon,,,M,27.0
Hayoon,Jung Hayoon,정하윤,하윤,1998-11-21,Bonus Baby,1/01/2017,Maroo,South Korea,,163.0,,,,MyB,F,28.0
Hayoung,Oh Hayoung,오하영,하영,1996-07-19,Apink,19/04/2011,Plan A,South Korea,,167.0,,Seoul,,,F,30.0
Hayoung,Song Hayoung,송하영,하영,1997-09-29,fromis_9,24/01/2018,Off The Record,South Korea,,,,Gwangju,,,F,29.0
Hayoung,Lee Hayoung,이하영,하영,1993-08-03,Playback,25/06/2015,Coridel,South Korea,,,,,,,F,33.0
Hayoung,Choi Hayoung,최하영,하영,2000-08-22,TRCNG,10/10/2017,TS,South Korea,,181.0,,,,,M,26.0
Hayun,Lee Hayun,이하윤,하윤,1994-08-29,,,,South Korea,,,,Changwon,,Brave Girls,F,32.0
Hayun,Choi Hayun,최하윤,하윤,2004-01-16,Hi-L,11/08/2021,Kpop Live,South Korea,,,,Seoul,,,F,22.0
Heechan,Yang Heechan,양희찬,희찬,1999-07-31,DKB,3/02/2020,Brave,South Korea,,176.0,63.0,,,,M,27.0
Heechul,Kim Heechul,김희철,희철,1983-07-10,Super Junior,6/11/2005,SM,South Korea,,179.0,60.0,Hoengseong,,,M,43.0
Heechul,Jung Heechul,정희철,희철,1989-12-09,ZE:A,7/01/2010,Star Empire,South Korea,,,,Jeju,,,M,37.0
Heedo,Yoon Heedo,유희도,희도,1996-04-22,B.I.G,9/07/2014,GH,South Korea,,180.0,60.0,Seoul,,,M,30.0
Heejin,Song Heejin,송희진,희진,1995-08-19,Good Day,30/08/2017,C9,South Korea,,,,Seoul,,,F,31.0
Heejin,Jeon Heejin,전희진,희진,2000-10-19,LOONA,20/08/2018,Blockberry,South Korea,,,,Seongnam,Loona 1/3|ARTMS,,F,26.0
Heejoo,Jeon Heejoo,전희주,희주,1996-11-30,Ho1iday,26/04/2013,LOEN,South Korea,,,,,,MyB,F,30.0
Heejun,Oh Heejun,오희준,희준,1996-05-08,KNK,3/03/2016,YNB,South Korea,,180.0,61.0,,,,M,30.0
Heeo,Gwak Heeoh,곽히오,히오,1994-05-02,4TEN,26/08/2014,Jungle,South Korea,,,,,,,F,32.0
Heeseok,Yun Heeseok,윤희석,희석,1997-06-10,Limitless,9/07/2019,ONO,South Korea,,180.0,61.0,,,,M,29.0
Heeseung,Lee Heeseung,이희승,희승,2001-10-15,ENHYPEN,30/11/2020,Be:lift,South Korea,,,,,,,M,25.0
Heesu,Kim Heesu,김희수,희수,1998-03-24,Maka Maka,4/08/2020,Dreamus,South Korea,,,,,,,F,28.0
Heesun,Park Heesun,박희선,희선,2005-01-25,Pink Fantasy,28/10/2018,My Doll,South Korea,,162.0,45.0,,,,F,21.0
Heeyu,Choi Heejae,최희재,희유,1995-06-30,MIXX,2/05/2016,Chiko,South Korea,,159.0,,,,,F,31.0
Henny,Kang Gayoung,강가영,헤니,1994-12-01,,,,South Korea,,168.0,50.0,,,MIXX,F,32.0
Henry,Henry Lau,헨리 라우,헨리,1989-10-11,Super Junior-M,6/11/2005,SM,Canada,Hong Kong| Taiwan,176.0,63.0,Toronto,,,M,37.0
Heo Chan,Heo Chan,허찬,허찬,1995-12-14,,,,South Korea,,,,,,VICTON,M,31.0
High.D,Kim Dohee,김도희,하이디,1996-12-21,Sonamoo,29/12/2014,TS,South Korea,,165.0,,Suwon,,,F,30.0
HighTop,Lim Hyeontae,임현태,하이탑,1994-03-19,Bigflo,19/07/2014,HO,South Korea,,178.0,60.0,,,,M,32.0
Hikaru,Ezaki Hikaru,에자키 히카루,히카루,2004-03-12,Kep1er,1/03/2022,WakeOne,Japan,,155.0,,,,,F,22.0
Himchan,Kim Himchan,김힘찬,힘찬,1990-04-19,B.A.P,27/01/2012,TS,South Korea,,180.0,69.0,Seoul,,,M,36.0
Hina,Nagai Hina,나가이 히나,히나,2003-04-07,LIGHTSUM,10/06/2021,Cube,Japan,,,,Kanagawa,,,F,23.0
Hitomi,Honda Hitomi,혼다 히토미,히토미,2001-10-06,IZ*ONE,29/10/2018,Off The Record,Japan,,,,Toghichi,,,F,25.0
Hohyeon,Lee Hohyeon,이호현,호현,2001-10-14,TRCNG,10/10/2017,TS,South Korea,,177.0,,,,,M,25.0
Hojoon,Jeon Hojoon,전호준,호준,1992-10-31,Topp Dogg,1/04/2020,n.CH,South Korea,,,,Gwangju,,,M,34.0
Hojung,Go Hojung,고호정,호정,1994-10-20,HOTSHOT,29/10/2014,Star Crew,South Korea,,,,,,,M,32.0
Hongbin,Lee Hongbin,이홍빈,홍빈,1993-09-29,VIXX,24/05/2012,Jellyfish,South Korea,,181.0,62.0,Seoul,,,M,33.0
Honggi,Lee Honggi,이홍기,홍기,1990-03-02,FTISLAND,7/06/2007,FNC,South Korea,,,,Gwangju,,,M,36.0
Hongil,Yoon Hongil,윤홍일,홍일,1999-01-11,Astin,16/11/2022,AB Creative,South Korea,,,,,,,M,27.0
Hongjoong,Kim Hongjoong,김홍중,홍중,1998-11-07,ATEEZ,24/10/2018,KQ,South Korea,,171.0,,,,,M,28.0
Hongseob,Shim Hongseob,심홍섭,홍섭,1998-01-08,24K,6/09/2012,Choeun,South Korea,,177.0,58.0,,,,M,28.0
Hongseok,Yang Hongseok,양홍석,홍석,1994-04-17,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M,32.0
Hoon,Yeo Hoonmin,여훈민,훈,1991-08-16,U-KISS,28/08/2008,NH Media,South Korea,,,,Namyangju,,,M,35.0
Hoony,Lee Seunghoon,이승훈,승훈,1992-01-11,WINNER,12/08/2014,YG,South Korea,,,,Busan,,,M,34.0
Hoshi,Kwon Soonyoung,권순영,호시,1996-06-15,Seventeen,26/05/2015,Pledis,South Korea,,178.0,63.0,Namyangju,,,M,30.0
Hoya,Lee Howon,이호원,호야,1991-03-28,,,,South Korea,,178.0,60.0,Busan,Infinite H,Infinite,M,35.0
Hoyoung,Bae Hoyoung,배호영,호영,1998-08-10,Verivery,1/09/2019,Jellyfish,South Korea,,,,,,,M,28.0
Hueningkai,Kai Kamal Huening,카이 카말 휴닝,휴닝카이,2002-08-14,TXT,4/03/2019,Big Hit,USA,South Korea,,,,,,M,24.0
Hui,Liang Hui,양휘,양휘,1995-07-18,24K,6/09/2012,Choeun,China,,178.0,58.0,,,,M,31.0
Hui,Lee Hwitaek,이회택,후이,1993-08-28,PENTAGON,10/10/2016,Cube,South Korea,,,,,,,M,33.0
Huihyeon,Ki Huihyeon,기희현,희현,1995-06-16,DIA,14/07/2015,MBK,South Korea,,167.0,46.0,Namwon,,,F,31.0
Huijun,Noh Huijun,노휘준,휘준,2003-10-07,MCND,27/02/2020,TOP Media,South Korea,,,,,,,M,23.0
Huiyeon,Oh Huiyeon,오휘연,휘연,2005-08-01,,,,South Korea,,,,,,LIGHTSUM,F,21.0
Hunter,Papungkorn Lertkiatdamrong,빠팡콘 륵키앗둠롱,헌터,2005-10-05,xikers,30/03/2023,KQ,Thailand,,,,,,,M,21.0
Hwall,Heo Hyunjoon,허현준,활,2000-03-09,,,,South Korea,,178.0,56.0,Busan,,The Boyz,M,26.0
Hwanhee,Lee Hwanhee,이환희,환희,1998-05-06,UP10TION,10/09/2015,TOP Media,South Korea,,,,Daejeon,,,M,28.0
Hwani,Jo Sihyeon,조시환,화니,1994-11-16,DUSTIN,6/01/2020,LPA,South Korea,,,,,,,M,32.0
Hwanwoong,Yeo Hwanwoong,여환웅,환웅,1998-08-26,Oneus,9/01/2019,RBW,South Korea,,,,,,,M,28.0
Hwarang,Park Jonghan,박종찬,종찬,1995-12-05,Spectrum,9/05/2018,WYNN,South Korea,,,,,,,M,31.0
Hwarang,Son Jaewon,송재원,화랑,2001-04-23,TEMPEST,2/03/2022,Yuehua,South Korea,,179.0,61.0,,,,M,25.0
Hwasa,Ahn Hyejin,안혜진,화사,1995-07-23,Mamamoo,18/06/2014,RBW,South Korea,,162.0,44.0,Jeonju,,,F,31.0
Hweseung,Yoo Hweseung,유회승,회승,1995-02-28,N.Flying,20/05/2015,FNC,South Korea,,,,,,,M,31.0
Hwi,Lee Choonghyun,이충현,휘,1999-02-04,Ciipher,15/03/2021,Rain,South Korea,,172.0,61.0,,,,M,27.0
Hwi,Jo Mingyu,조민규,휘,2002-09-26,Newkidd,25/04/2019,J-FLO,South Korea,,,,,,,M,24.0
Hwi,Eun Hwi,은휘,휘,2004-11-11,TNX,17/05/2022,P NATION,South Korea,,,,Gangwon,,,M,22.0
Hwichan,Lee Heechan,이휘찬,휘찬,1996-04-18,Limitless,9/07/2019,ONO,South Korea,,,,,OMEGA X,,M,30.0
Hwiseo,Jo Hwihyeon,조휘현,화서,2002-07-31,H1-KEY,5/01/2022,GLG,South Korea,,168.0,,,,,F,24.0
Hwiyoung,Kim Youngkyun,김영균,휘영,1999-05-11,SF9,5/10/2016,FNC,South Korea,,,,,,,M,27.0
Hyangsuk,Lee Hyangsuk,이향숙,향숙,1991-04-24,2EYES,20/07/2013,SidusHQ,South Korea,,165.0,,Seoul,,,F,35.0
Hyebin,Kim Hyebin,김혜빈,혜빈,1997-03-29,AREAL,21/08/2020,JZ Factory,South Korea,,,,,,Rose Finger,F,29.0
Hyebin,Im Hyebin,임혜빈,혜빈,1999-11-10,Highteen,14/10/2016,Elijah,South Korea,,,,,,,F,27.0
Hyebin,Lee Hyebin,이혜빈,혜빈,1996-01-12,MOMOLAND,9/11/2016,Double Kick,South Korea,,165.0,44.0,Andong,,,F,30.0
Hyein,Lee Hyein,이혜인,혜인,2008-04-21,NewJeans,22/07/2022,ADOR,South Korea,,170.0,,Incheon,,,F,18.0
Hyejeong,Shin Hyejeong,신혜정,혜정,1993-08-10,AoA,30/07/2012,FNC,South Korea,,170.0,48.0,Seoul,,,F,33.0
Hyeji,Jeong Hyeji,정혜지,혜지,1992-04-02,4TEN,26/08/2014,Jungle,South Korea,,,,Seoul,,,F,34.0
Hyejin,Baek Hyejin,백혜진,혜진,1996-11-21,4TEN,26/08/2014,Jungle,South Korea,,,,Sacheon,,,F,30.0
Hyejin,Kang Hyejin,강혜진,혜진,2000-07-13,CRAXY,3/03/2020,SAITEINMENT,South Korea,,,,,,,F,26.0
Hyejoo,Park Hyunjoo,박현주,혜주,1999-01-12,Highteen,14/10/2016,Elijah,South Korea,,,,,,,F,27.0
Hyeju,Hong Hyeju,홍혜주,혜주,2003-12-09,CLASS:y,5/05/2022,Universal,South Korea,,166.0,,Seoul,,,F,23.0
Hyemi,Pyo Hyemi,표혜미,혜미,1991-04-03,9Muses,12/08/2010,Star Empire,South Korea,,171.0,46.0,Gwangju,9MUSES A,,F,35.0
Hyemi,Kim Hyemi,김혜미,혜미,1990-08-10,Fiestar,31/08/2012,LOEN,South Korea,,161.0,,Seoul,,,F,36.0
Hyeoeun,Lee Hyoeun,이효은,효은,1993-03-16,Stellar,28/08/2011,Pascal,South Korea,,,,Seoul,,,F,33.0
Hyeongjun,Song Hyeongjun,송형준,형준,2002-11-30,CRAVITY,14/04/2020,Starship,South Korea,,174.0,55.0,,,X1,M,24.0
Hyeongseok,Chu Hyeongseok,추형석,형석,2000-09-13,Astin,16/11/2022,AB Creative,South Korea,,,,,,,M,26.0
Hyeongshin,Kim Hyungshin,김형신,형신,2002-05-03,HOT ISSUE,17/05/2017,FNC,South Korea,,,,,,,F,24.0
Hyeran,Noh Hyeran,노혜란,혜란,1993-04-09,,,,South Korea,,,,,,Brave Girls,F,33.0
Hyeri,Lee Hyeri,이혜리,혜리,1994-06-09,Girl's Day,9/07/2010,DreamT,South Korea,,167.0,46.0,Gwangju,,,F,32.0
Hyerim,Woo Hyerim,우혜림,혜림 ,1992-09-01,Wonder Girls,13/02/2007,JYP,South Korea,,167.0,,Seoul,,,F,34.0
Hyerin,Kim Hyerin,김혜린,혜린,1993-06-13,2EYES,20/07/2013,SidusHQ,South Korea,,170.0,,Seoul,,,F,33.0
Hyerin,Seo Hyerin,서혜린,혜린,1993-08-23,EXID,16/02/2012,Yedang,South Korea,,165.0,,Gwangju,,,F,33.0
Hyerin,Jeong Hyerin,정혜린,혜린,2007-04-12,tripleS,13/02/2023,MODHAUS,South Korea,,,,,,,F,19.0
Hyewon,Kang Hyewon,강혜원,혜원,1999-07-05,IZ*ONE,29/10/2018,Off The Record,South Korea,,,,Yangsan,,,F,27.0
Hyeyeon,Cho Hyeyeon,조혜연,혜연,2000-08-05,,,,South Korea,,,,,Gugudan Oguogu,Gugudan,F,26.0
Hyeyeon,Kang Hyeyeon,강혜연,혜연,1990-12-08,BESTie,11/07/2013,YNB,South Korea,,,,,,EXID,F,36.0
Hyogyeong,Jang Hyogyeong,장효경,효경,1999-11-15,ARIAZ,23/10/2019,Rising Star,South Korea,,,,,,,F,27.0
Hyojin,Kim Hyojin,김효진,효진,1994-04-22,ONF,2/08/2017,WM,South Korea,,,,Seoul,,,M,32.0
Hyojung,Choi Hyojung,최효정,효정,1994-07-28,Oh My Girl,21/04/2015,WM,South Korea,,160.0,46.0,Yangyang,,,F,32.0
Hyomin,Park Sunyoung,박선영,효민,1989-05-30,T-ara,29/07/2009,MBK,South Korea,,167.0,43.0,Busan,,,F,37.0
Hyori,Inn Hyori,인효리,효리,2000-06-02,mimiirose,16/09/2022,YES IM,South Korea,,161.0,,,,,F,26.0
Hyorin,Kim Hyojung,김효정,효린,1990-12-11,SISTAR,6/03/2010,Starship,South Korea,,,,,SISTAR19,,F,36.0
Hyosun,Lim Hyosun,임효선,효선,1998-07-10,H.U.B,9/02/2017,New Planet,South Korea,,170.0,54.0,,,Kiwi Band,F,28.0
Hyosung,Jun Hyoseong,전효성,효성,1989-10-13,SECRET,13/10/2009,TS,South Korea,,,,Cheongju,,,F,37.0
Hyoyeon,Kim Hyoyeon,김효연,효연,1989-09-22,SNSD,4/08/2021,Good Luck,South Korea,,158.0,48.0,Incheon,,,F,37.0
Hyuk,Yang Hyuk,양혁,혁,2000-03-15,OMEGA X,17/10/2016,JT Corea,South Korea,,183.0,67.0,,,ENOi,M,26.0
Hyuk,Koo Bonhyuk,구본혁,혁,2000-04-17,TEMPEST,2/03/2022,Yuehua,South Korea,,,,,,,M,26.0
Hyuk,Han Sanghyuk,한상혁,혁,1995-07-05,VIXX,24/05/2012,Jellyfish,South Korea,,181.0,62.0,Daejeon,Big Byung,,M,31.0
Hyukjin,Jang Hyukjin,장혁진,혁진,1993-12-20,100%,18/09/2012,TOP Media,South Korea,,,,Busan,,,M,33.0
Hyun,Park Sunghyun,박성현,성현,1997-08-25,7 O'clock,26/08/2014,Jungle,South Korea,,176.0,58.0,Suwon,,,M,29.0
Hyuna,Moon Hyuna,문현아,현아,1987-01-19,,,,South Korea,,172.0,50.0,Yeosu,,9Muses,F,39.0
HyunA,Kim Hyuna,김현아,현아,1992-06-06,4minute,15/06/2009,Cube,South Korea,,164.0,,Jeolla,,Wonder Girls,F,34.0
Hyunbin,Moon Hyunbin,문현빈,현빈,2000-02-26,Ciipher,15/03/2021,Rain,South Korea,,177.0,61.0,,,,M,26.0
Hyunbin,Kwon Hyunbin,권현빈,현빈,1997-03-04,JBJ,18/10/2017,Fave,South Korea,,,,Seoul,,,M,29.0
Hyunbin,Kim Hyunbin,김현빈‬,현빈‬,2004-05-26,TRI.BE,17/02/2021,TR - Mellow,South Korea,,,,,,,F,22.0
Hyungseo,Myeong Hyeongseo,명형서,형서,2001-06-25,CLASS:y,5/05/2022,Universal,South Korea,,160.0,44.0,,,Busters,F,25.0
Hyungseok,Song Hyungseok,송형석,형석,2002-11-06,YOUNITE,20/04/2022,Brand New,South Korea,,,,,,,M,24.0
Hyungseop,Ahn Hyungseop,안형섭,형섭,1999-08-09,TEMPEST,2/03/2022,Yuehua,South Korea,,173.0,58.0,,HyeongseopXEuiwoong,,M,27.0
Hyungsik,Park Hyungsik,박형식,형식,1991-11-16,ZE:A,7/01/2010,Star Empire,South Korea,,,,Yongin,,,M,35.0
Hyungwon,Chae Hyungwon,채형원,형원,1994-01-15,MONSTA X,14/05/2014,Starship,South Korea,,,,Gwangju,,,M,32.0
Hyunho,Lee Hyunho,이현호,현호,1998-11-04,D-CRUNCH,6/08/2018,All-S,South Korea,,,,,,,M,28.0
Hyunjae,Lee Jaehyun,이재현,현재,1997-09-13,The Boyz,31/12/2017,Cre.Ker,South Korea,,180.0,62.0,,,,M,29.0
Hyunji,Kim Hyunji,김현지,현지,1992-06-30,Hash Tag,11/10/2017,LUK,South Korea,,165.0,,,,,F,34.0
Hyunjin,Kim Hyunjin,김현진,현진,2000-11-15,LOONA,20/08/2018,Blockberry,South Korea,,,,Jeonju,Loona 1/3,,F,26.0
Hyunjin,Hwang Hyunjin,황현진,현진,2000-03-20,Stray Kids,25/03/2018,JYP,South Korea,,,,Seoul,,,M,26.0
Hyunjoo,Lee Hyunjoo,이현주,현주,1998-02-05,UNI.T,18/05/2018,Unit Culture,South Korea,,,,Seoul,,APRIL,F,28.0
Hyunjun,Bae Hyunjun,배현준,현준,2003-06-06,ATBO,27/07/2022,IST,South Korea,,180.0,,Seoul,,,M,23.0
Hyunjun,Lee Hyunjun,이현준,현준,1999-12-21,IZ,31/08/2017,Music K,South Korea,,,,,,,M,27.0
Hyunkyung,Kim Hyunjong,김현종,현경,1998-09-05,Romeo,4/11/2015,CT,South Korea,,,,,,,M,28.0
Hyunmin,Byun Hyunmin,변현민,현민,1999-04-17,,,,South Korea,,170.0,,,,RAINZ,M,27.0
Hyunoh,Park Hyunoh,백현우,현우,1999-02-12,D-CRUNCH,6/08/2018,All-S,South Korea,,,,,,,M,27.0
Hyunseo,Go Hyunseo,고현서,현서,1999-06-17,,,,South Korea,,,,,,G-reyish,F,27.0
Hyunseong,Shim Hyunseong,심현성,현성,1993-06-09,Boyfriend,26/05/2011,Starship,South Korea,,178.0,58.0,Yeongcheon,,,M,33.0
Hyunseung,Jang Hyunseung,장현승,현승,1989-09-03,,,,South Korea,,177.0,58.0,Suncheon,Troublemaker,Beast,M,37.0
Hyunseung,Kim Hyunseung,김현승,현승,2002-10-15,YOUNITE,20/04/2022,Brand New,South Korea,,,,,,,M,24.0
Hyunsik,Lim Hyunsik,임현식,현식,1992-03-07,BtoB,21/03/2012,Cube,South Korea,,177.0,66.0,Ilsan,,,M,34.0
Hyunsoo,Kim Hyunsoo,김현수,현수,1995-04-12,D1CE,1/08/2019,Happyface,South Korea,,176.0,60.0,,,,M,31.0
Hyunsoo,Jang Hyunsoo,장현수,현수,2003-09-16,TNX,17/05/2022,P NATION,South Korea,,,,Sangju,,,M,23.0
Hyunsuk,Yoon Hyunsuk,윤현석,현석,2001-09-08,CIX,23/07/2019,C9,South Korea,,188.0,,,,,M,25.0
Hyunsuk,Choi Hyunsuk,최현석,현석,1999-04-21,Treasure,7/08/2020,YG,South Korea,,,,Daegu,,,M,27.0
Hyunuk,Han Hyunuk,한현욱,현욱,1994-09-26,IN2IT,27/01/2016,Star Empire,South Korea,,179.0,63.0,,,,M,32.0
Hyunwoo,Baek Hyunwoo,박현오,현오,1999-03-19,D-CRUNCH,6/08/2018,All-S,South Korea,,,,,,,M,27.0
Hyunwoo,Kim Hyunwoo,김현우,현우,2001-01-21,TRCNG,10/10/2017,TS,South Korea,,173.0,,,,,M,25.0
Hyunwoo,Choi Hyunwoo,최현우,현우,2004-12-04,xikers,30/03/2023,KQ,South Korea,,,,Gangwon,,,M,22.0
Hyunwook,Ji Hyunwook,지현욱,현욱,1998-07-01,D-CRUNCH,6/08/2018,All-S,South Korea,,,,,,,M,28.0
Hyunwoong,Kim Hyunwoong,김현웅,현웅,1998-02-08,14U,17/04/2017,BG,South Korea,,,,,,,M,28.0
Hyunyoung,Cho Hyunyoung,조현영,현영,1991-08-11,Rainbow,12/11/2009,DSP,South Korea,,160.0,41.0,Seoul,Rainbow Blaxx| Rainbow Pixie,,F,35.0
I,Cha Yoonji,차윤지,아이,1996-12-02,,,,South Korea,,,,Busan,,,F,30.0
I.L,Kim Jiwon,김지원,아이엘,1997-07-01,IRRIS,6/07/2022,Mellow,South Korea,,,,Daegu,,Good Day| RedSquare,F,29.0
I.M,Lim Changkyun,임창균,아이엠,1996-01-26,MONSTA X,14/05/2014,Starship,South Korea,,,,Gwangju,,,M,30.0
I.N,Yang Jeongin,양정인,아이엔,2001-02-08,Stray Kids,25/03/2018,JYP,South Korea,,,,Busan,,,M,25.0
Iaan,Yoo Dongju,유동주,이안,2002-03-22,XUM,22/09/2020,A100,South Korea,,,,,,NeonPunch,F,24.0
Ida,Ko Chaeyoung,고채영,아이다,2000-05-19,MAJORS,9/03/2021,ANS,South Korea,,163.0,43.0,,,,F,26.0
Ilhoon,Jung Ilhoon,정일훈,일훈,1994-10-04,BtoB,21/03/2012,Cube,South Korea,,176.0,64.0,Seoul,,,M,32.0
Inho,Hwang Inho,황인호,인호,1993-06-21,IN2IT,27/01/2016,Star Empire,South Korea,,177.0,58.0,,,,M,33.0
Inpyo,Lee Inpyo,이인표,인표,1995-08-14,IN2IT,27/01/2016,Star Empire,South Korea,,182.0,66.0,,,,M,31.0
Inseong,Jeong Inseong,정인성,인성,1994-07-01,KNK,3/03/2016,YNB,South Korea,,183.0,71.0,,,,M,32.0
Inseong,Kim Inseong,김인성,인성,1993-07-12,SF9,5/10/2016,FNC,South Korea,,,,,,,M,33.0
Insoo,Kang Insoo,강인수,인수,1988-03-10,MYNAME,27/10/2011,H2,South Korea,,,,Suwon,,,M,38.0
Intak,Hwang Intak,황인탁,인탁,2003-08-31,P1Harmony,28/10/2020,FNC,South Korea,,,,,,,M,23.0
Ireh,Cho Seoyoung,조서영,이레,2002-04-30,Purple Kiss,15/03/2021,RBW,South Korea,,,,,,,F,24.0
Irene,Bae Juhyun,배주현,아이린,1991-03-29,Red Velvet,1/08/2014,SM,South Korea,,161.0,,Daegu,Red Velvet - IRENE SEULGI,,F,35.0
Isa,Lee Chaeyoung,이채영,아이사,2002-01-23,STAYC,12/11/2020,Hi-Up,South Korea,,165.0,45.0,Busan,,,F,24.0
Isaac,Voo Isaak,부 아이젝,아이젝,1994-12-12,IN2IT,27/01/2016,Star Empire,Malaysia,,176.0,56.0,,,,M,32.0
Isol,,,이솔,1997-05-01,Lusty,26/06/2019,babaplay,South Korea,,166.0,48.0,Seoul,,,F,29.0
IU,Lee Jieun,이지은,아이유,1993-05-16,,,,South Korea,,162.0,,Seoul,,,F,33.0
Ivan,Park Yooseong,박유성,아이반,2001-10-12,Kingdom,18/02/2021,GF,South Korea,,,,,,,M,25.0
J,Lee Yeji,이예지,제이,1998-02-12,ANS,16/09/2019,ANS,South Korea,,,,,,,F,28.0
J,Jang Yeeun,장예은,제이,2004-12-09,STAYC,12/11/2020,Hi-Up,South Korea,,170.0,48.0,Daejeon,,,F,22.0
J.Min,Shin Minjung,신민정,제이민,1994-11-20,Tiny-G,23/08/2012,GNG,South Korea,,155.0,,,,,F,32.0
J.seph,Kim Taehyung,김태형,제이셉,1992-06-21,KARD,29/03/2007,DSP,South Korea,USA,,,,,,M,34.0
J.YOU,Kim Jaeyu,김제유,제유,2000-11-02,TOO,1/04/2020,n.CH,South Korea,,,,,,,M,26.0
Jackie,Kang Chaeyeon,강채연,재키,2001-11-17,ICHILLIN',8/09/2021,KM,USA,South Korea,,,Los Angeles,,,F,25.0
Jackson,Jackson Wang,잭슨 왕,잭슨,1994-03-28,GOT7,16/01/2014,JYP,Hong Kong,,174.0,63.0,Hong Kong,,,M,32.0
Jacob,Bae Joonyoung,배준영,제이콥,1997-05-30,The Boyz,31/12/2017,Cre.Ker,South Korea,Canada,175.0,60.0,Toronto,,,M,29.0
Jacob,Zhang Peng,장펑,제이콥,1996-09-07,VAV,31/10/2015,A team,China,,184.0,63.0,,,,M,30.0
Jae,Park Jaehyung,박제형,제이,1992-09-15,DAY6,7/09/2015,JYP,South Korea,Argentina|USA,,,Buenos Aires,,,M,34.0
Jaebin,Deung Bin,등빈,재빈,1997-02-13,VARSITY,5/01/2017,GKC,China,,168.0,,Hunan,,,M,29.0
Jaechan,Park Jaechan,박재찬,재찬,2001-12-06,Dongkiz,24/04/2019,Dongyo,South Korea,,177.0,58.0,,,,M,25.0
Jaehan,Kim Jaehan,김재한,재한,1995-07-01,OMEGA X,17/10/2016,JT Corea,South Korea,,,,,,Spectrum,M,31.0
Jaehee,Lee Jaehee,이재희,재희,2004-03-18,Weeekly,30/07/2020,Play M,South Korea,,166.0,,,,,F,22.0
Jaeho,Kim Jaeho,김재호,재호,1992-09-17,HISTORY,26/04/2013,LOEN,South Korea,,174.0,58.0,,,,M,34.0
Jaehwan,Kim Jaehwan,김재환,재환,1996-05-27,Wanna One,7/08/2017,YMC,South Korea,,,,Seoul,,,M,30.0
Jaehyo,Ahn Jaehyo,안재효,재효,1990-12-23,Block B,15/04/2011,KQ,South Korea,,182.0,60.0,Busan,,,M,36.0
Jaehyuk,Yoon Jaehyuk,윤재혁,재혁,2001-07-23,Treasure,7/08/2020,YG,South Korea,,,,,,,M,25.0
Jaehyun,Bong Jaehyun,봉재현,재현,1999-01-04,Golden Child,28/08/2017,Woollim,South Korea,,,,,,,M,27.0
Jaehyun,Kim Jaehyun,김재현,재현,1994-07-15,N.Flying,20/05/2015,FNC,South Korea,,,,Seoul,,,M,32.0
Jaehyun,Jung Yoonoh,정윤오,재현,1997-02-14,NCT,9/04/2016,SM,South Korea,,,,Seoul,NCT U| NCT 127,,M,29.0
Jaejin,Lee Jaejin,이재진,재진,1991-12-17,FTISLAND,7/06/2007,FNC,South Korea,,,,Cheongju,,,M,35.0
Jaejoong,Kim Jaejoong,김재중,재중,1986-01-26,JYJ,8/09/2010,C-JeS,South Korea,,,,Gongju,,TVXQ,M,40.0
Jaekyung,Kim Jaekyung,김재경,재경,1988-12-24,Rainbow,12/11/2009,DSP,South Korea,,168.0,45.0,Seoul,Rainbow Blaxx,,F,38.0
Jaemin,Na Jaemin,나재민,재민,2000-08-13,NCT,9/04/2016,SM,South Korea,,,,,NCT Dream,,M,26.0
Jaemin,Shin Jaemin,신재민,재민,1996-06-08,XEED,1/12/2022,Nature Space,South Korea,,,,,,,M,30.0
Jaeseok,Park Jaeseok,박재석,재석,1995-11-20,,,,South Korea,,,,,,Golden Child,M,31.0
Jaeun,Ha Jaeun,한재운,재운,1999-09-28,ARGON,11/03/2019,MSH,South Korea,,,,,,,M,27.0
Jaeyoon,Lee Jaeyoon,이재윤,재윤,1994-08-09,SF9,5/10/2016,FNC,South Korea,,,,,,,M,32.0
Jaeyun,Moon Jaeyun,문재윤,재윤,2002-07-02,8TURN,30/01/2023,MNH,New Zealand,South Korea,178.0,64.0,,,,M,24.0
Jaeyun,Lee Jaeyun,이재윤,이재윤,2000-08-16,TOO,1/04/2020,n.CH,South Korea,,,,,,,M,26.0
Jahan,Im Jihun,임지훈,자한,2002-08-01,Kingdom,18/02/2021,GF,South Korea,,,,,,,M,24.0
Jake,Shim Jaeyoon,심재윤,제이크,2002-11-15,ENHYPEN,30/11/2020,Be:lift,South Korea,Australia,,,,,,M,24.0
Jamie,Park Jimin,박지민,박지민,1997-07-05,15&,5/10/2012,JYP,South Korea,,160.0,,Junggu,,,F,29.0
Jane,Sung Jiyeon,성지연,제인,1997-12-20,MOMOLAND,9/11/2016,Double Kick,South Korea,,167.0,46.0,Changwon,,,F,29.0
